"z","P[Z<z]","P[Z>z]","P[|Z|<z]","P[|Z|>z]"
0.4,0.6554,0.3446,0.3108,0.6892
0.41,0.6591,0.3409,0.3182,0.6818
0.42,0.6628,0.3372,0.3256,0.6744
0.43,0.6664,0.3336,0.3328,0.6672
0.44,0.67,0.33,0.34,0.66
0.45,0.6736,0.3264,0.3472,0.6528
0.46,0.6772,0.3228,0.3544,0.6456
0.47,0.6808,0.3192,0.3616,0.6384
0.48,0.6844,0.3156,0.3688,0.6312
0.49,0.6879,0.3121,0.3758,0.6242
0.5,0.6915,0.3085,0.383,0.617
0.51,0.695,0.305,0.39,0.61
0.52,0.6985,0.3015,0.397,0.603
0.53,0.7019,0.2981,0.4038,0.5962
0.54,0.7054,0.2946,0.4108,0.5892
0.55,0.7088,0.2912,0.4176,0.5824
0.56,0.7123,0.2877,0.4246,0.5754
0.57,0.7157,0.2843,0.4314,0.5686
0.58,0.719,0.281,0.438,0.562
0.59,0.7224,0.2776,0.4448,0.5552
0.6,0.7257,0.2743,0.4514,0.5486
0.61,0.7291,0.2709,0.4582,0.5418
0.62,0.7324,0.2676,0.4648,0.5352
0.63,0.7357,0.2643,0.4714,0.5286
0.64,0.7389,0.2611,0.4778,0.5222
0.65,0.7422,0.2578,0.4844,0.5156
0.66,0.7454,0.2546,0.4908,0.5092
0.67,0.7486,0.2514,0.4972,0.5028
0.68,0.7517,0.2483,0.5034,0.4966
0.69,0.7549,0.2451,0.5098,0.4902
0.7,0.758,0.242,0.516,0.484
0.71,0.7611,0.2389,0.5222,0.4778
0.72,0.7642,0.2358,0.5284,0.4716
0.73,0.7673,0.2327,0.5346,0.4654
0.74,0.7704,0.2296,0.5408,0.4592
0.75,0.7734,0.2266,0.5468,0.4532
0.76,0.7764,0.2236,0.5528,0.4472
0.77,0.7794,0.2206,0.5588,0.4412
0.78,0.7823,0.2177,0.5646,0.4354
0.79,0.7852,0.2148,0.5704,0.4296
0.8,0.7881,0.2119,0.5762,0.4238
0.81,0.791,0.209,0.582,0.418
0.82,0.7939,0.2061,0.5878,0.4122
0.83,0.7967,0.2033,0.5934,0.4066
0.84,0.7995,0.2005,0.599,0.401
0.85,0.8023,0.1977,0.6046,0.3954
0.86,0.8051,0.1949,0.6102,0.3898
0.87,0.8078,0.1922,0.6156,0.3844
0.88,0.8106,0.1894,0.6212,0.3788
0.89,0.8133,0.1867,0.6266,0.3734
0.9,0.8159,0.1841,0.6318,0.3682
0.91,0.8186,0.1814,0.6372,0.3628
0.92,0.8212,0.1788,0.6424,0.3576
0.93,0.8238,0.1762,0.6476,0.3524
0.94,0.8264,0.1736,0.6528,0.3472
0.95,0.8289,0.1711,0.6578,0.3422
0.96,0.8315,0.1685,0.663,0.337
0.97,0.834,0.166,0.668,0.332
0.98,0.8365,0.1635,0.673,0.327
0.99,0.8389,0.1611,0.6778,0.3222
1,0.8413,0.1587,0.6826,0.3174
1.01,0.8438,0.1562,0.6876,0.3124
1.02,0.8461,0.1539,0.6922,0.3078
1.03,0.8485,0.1515,0.697,0.303
1.04,0.8508,0.1492,0.7016,0.2984
1.05,0.8531,0.1469,0.7062,0.2938
1.06,0.8554,0.1446,0.7108,0.2892
1.07,0.8577,0.1423,0.7154,0.2846
1.08,0.8599,0.1401,0.7198,0.2802
1.09,0.8621,0.1379,0.7242,0.2758
1.1,0.8643,0.1357,0.7286,0.2714
1.11,0.8665,0.1335,0.733,0.267
1.12,0.8686,0.1314,0.7372,0.2628
1.13,0.8708,0.1292,0.7416,0.2584
1.14,0.8729,0.1271,0.7458,0.2542
1.15,0.8749,0.1251,0.7498,0.2502
1.16,0.877,0.123,0.754,0.246
1.17,0.879,0.121,0.758,0.242
1.18,0.881,0.119,0.762,0.238
1.19,0.883,0.117,0.766,0.234
1.2,0.8849,0.1151,0.7698,0.2302
1.21,0.8869,0.1131,0.7738,0.2262
1.22,0.8888,0.1112,0.7776,0.2224
1.23,0.8907,0.1093,0.7814,0.2186
1.24,0.8925,0.1075,0.785,0.215
1.25,0.8944,0.1056,0.7888,0.2112
1.26,0.8962,0.1038,0.7924,0.2076
1.27,0.898,0.102,0.796,0.204
1.28,0.8997,0.1003,0.7994,0.2006
1.29,0.9015,0.0985,0.803,0.197
1.3,0.9032,0.0968,0.8064,0.1936
1.31,0.9049,0.0951,0.8098,0.1902
1.32,0.9066,0.0934,0.8132,0.1868
1.33,0.9082,0.0918,0.8164,0.1836
1.34,0.9099,0.0901,0.8198,0.1802
1.35,0.9115,0.0885,0.823,0.177
1.36,0.9131,0.0869,0.8262,0.1738
1.37,0.9147,0.0853,0.8294,0.1706
1.38,0.9162,0.0838,0.8324,0.1676
1.39,0.9177,0.0823,0.8354,0.1646
1.4,0.9192,0.0808,0.8384,0.1616
1.41,0.9207,0.0793,0.8414,0.1586
1.42,0.9222,0.0778,0.8444,0.1556
1.43,0.9236,0.0764,0.8472,0.1528
1.44,0.9251,0.0749,0.8502,0.1498
1.45,0.9265,0.0735,0.853,0.147
1.46,0.9279,0.0721,0.8558,0.1442
1.47,0.9292,0.0708,0.8584,0.1416
1.48,0.9306,0.0694,0.8612,0.1388
1.49,0.9319,0.0681,0.8638,0.1362
1.5,0.9332,0.0668,0.8664,0.1336
1.51,0.9345,0.0655,0.869,0.131
1.52,0.9357,0.0643,0.8714,0.1286
1.53,0.937,0.063,0.874,0.126
1.54,0.9382,0.0618,0.8764,0.1236
1.55,0.9394,0.0606,0.8788,0.1212
1.56,0.9406,0.0594,0.8812,0.1188
1.57,0.9418,0.0582,0.8836,0.1164
1.58,0.9429,0.0571,0.8858,0.1142
1.59,0.9441,0.0559,0.8882,0.1118
1.6,0.9452,0.0548,0.8904,0.1096
1.61,0.9463,0.0537,0.8926,0.1074
1.62,0.9474,0.0526,0.8948,0.1052
1.63,0.9484,0.0516,0.8968,0.1032
1.64,0.9495,0.0505,0.899,0.101
1.65,0.9505,0.0495,0.901,0.099
1.66,0.9515,0.0485,0.903,0.097
1.67,0.9525,0.0475,0.905,0.095
1.68,0.9535,0.0465,0.907,0.093
1.69,0.9545,0.0455,0.909,0.091
1.7,0.9554,0.0446,0.9108,0.0892
1.71,0.9564,0.0436,0.9128,0.0872
1.72,0.9573,0.0427,0.9146,0.0854
1.73,0.9582,0.0418,0.9164,0.0836
1.74,0.9591,0.0409,0.9182,0.0818
1.75,0.9599,0.0401,0.9198,0.0802
1.76,0.9608,0.0392,0.9216,0.0784
1.77,0.9616,0.0384,0.9232,0.0768
1.78,0.9625,0.0375,0.925,0.075
1.79,0.9633,0.0367,0.9266,0.0734
1.8,0.9641,0.0359,0.9282,0.0718
1.81,0.9649,0.0351,0.9298,0.0702
1.82,0.9656,0.0344,0.9312,0.0688
1.83,0.9664,0.0336,0.9328,0.0672
1.84,0.9671,0.0329,0.9342,0.0658
1.85,0.9678,0.0322,0.9356,0.0644
1.86,0.9686,0.0314,0.9372,0.0628
1.87,0.9693,0.0307,0.9386,0.0614
